index,Title,Gross,1st-100-Relative-Date,1st-0,1st-1,1st--2,1st--3,2nd-100-Relative-Date,2nd-0,2nd-1,2nd-2,2nd-3
395,a christmas story,,2017-11-30,746766.0,156821.0,37338.0,22403.0,,,,,
396,blazing saddles,,2016-07-31,174300.0,47061.0,45318.0,50547.0,,,,,
397,boyhood,,2014-12-31,1433500.0,444385.0,372710.0,272365.0,,,,,
398,a star is born,,2018-09-30,11987400.0,2277606.0,359622.0,239748.0,,,,,
399,about time,,2013-12-31,1498740.0,794332.0,1169017.0,1094080.0,,,,,
400,airlift,,2015-12-31,5345900.0,694967.0,267295.0,53459.0,,,,,
401,back to the future,,2015-09-30,5094000.0,611280.0,458460.0,611280.0,,,,,
402,a night at the opera,,2018-10-31,28814.0,6627.0,5186.0,4322.0,,,,,
403,akira,,2016-08-31,3934093.0,1376932.0,1180228.0,1062205.0,,,,,
404,12 years a slave,,2014-02-28,,,,,,,,,
405,a beautiful mind,,2015-04-30,241909.0,101601.0,108859.0,120954.0,,,,,
406,after hours,,2020-02-29,958953.0,767162.0,632909.0,565782.0,,,,,
407,alien,,2017-04-30,8415371.0,3702763.0,3366148.0,3113687.0,,,,,
408,amélie,,2010-09-30,334789.0,254440.0,210917.0,117176.0,,,,,
409,awakenings,,2014-07-31,157692.0,55192.0,97769.0,56769.0,,,,,
410,badlands,,2015-11-30,734537.0,705156.0,205670.0,190979.0,,,,,
411,barry lyndon,,2020-03-31,89973.0,17994.0,13496.0,16195.0,,,,,
412,aladdin,,2019-05-31,6597775.0,6531797.0,1121621.0,1385532.0,,,,,
413,12 angry men,,2015-04-30,116845.0,53748.0,49074.0,58422.0,,,,,
414,1917,,2019-12-31,7926350.0,1426743.0,554844.0,475581.0,,,,,
415,50_50,,2020-07-31,909113.0,163640.0,145458.0,145458.0,,,,,
416,2001  a space odyssey,,2014-10-31,100482.0,52251.0,43207.0,41198.0,,,,,
417,abre los ojos,,2013-11-30,41839.0,27613.0,28032.0,38492.0,,,,,
418,watership down,,2018-11-30,441216.0,52946.0,35297.0,35297.0,,,,,
