Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,MaxTrends_movie,MaxTrends_Actor,MaxTrends_Director,Corrected_Gross
marriage story,2019,U,137 min,"Comedy, Drama, Romance",7.9,94.0,noah baumbach,Adam Driver,Scarlett Johansson,Julia Greer,Azhy Robertson,246644,2000000,1146900,367418,174214,2289434
the theory of everything,2014,U,123 min,"Biography, Drama, Romance",7.7,72.0,james marsh,Eddie Redmayne,Felicity Jones,Tom Prior,Sophie Perry,404182,35893537,1006698,133921,13262,44371887
philomena,2013,PG-13,98 min,"Biography, Comedy, Drama",7.6,77.0,stephen frears,Judi Dench,Steve Coogan,Sophie Kennedy Clark,Mare Winningham,94212,37707719,985537,128549,21562,47370770
chhichhore,2019,UA,143 min,"Comedy, Drama",8.2,,nitesh tiwari,Sushant Singh Rajput,Shraddha Kapoor,Varun Sharma,Prateik,33893,898575,854875,176894,11032,1028614
only the brave,2017,UA,134 min,"Action, Biography, Drama",7.6,72.0,joseph kosinski,Josh Brolin,Miles Teller,Jeff Bridges,Jennifer Connelly,58371,18340051,839360,201149,20257,21896653
her,2013,A,126 min,"Drama, Romance, Sci-Fi",8.0,90.0,spike jonze,Joaquin Phoenix,Amy Adams,Scarlett Johansson,Rooney Mara,540772,25568251,825485,1032606,515533,32120419
andhadhun,2018,UA,139 min,"Crime, Drama, Music",8.3,,sriram raghavan,Ayushmann Khurrana,Tabu,Radhika Apte,Anil Dhawan,71875,1373943,818966,107624,20275,1601274
hell or high water,2016,R,102 min,"Action, Crime, Drama",7.6,88.0,david mackenzie,Chris Pine,Ben Foster,Jeff Bridges,Gil Birmingham,204175,26862450,793133,308537,24371,32755004
skyfall,2012,UA,143 min,"Action, Adventure, Thriller",7.7,81.0,sam mendes,Daniel Craig,Javier Bardem,Naomie Harris,Judi Dench,630614,304360277,736300,242166,278266,387956814
paddington 2,2017,U,103 min,"Adventure, Comedy, Family",7.8,88.0,paul king,Ben Whishaw,Hugh Grant,Hugh Bonneville,Sally Hawkins,61594,40442052,735675,143979,93828,48284794
end of watch,2012,A,109 min,"Action, Crime, Drama",7.6,68.0,david ayer,Jake Gyllenhaal,Michael Peña,Anna Kendrick,America Ferrera,228132,41003371,724041,374491,39150,52265484
three billboards outside ebbing  missouri,2017,A,115 min,"Comedy, Crime, Drama",8.2,88.0,martin mcdonagh,Frances McDormand,Woody Harrelson,Sam Rockwell,Caleb Landry Jones,432610,54513740,660950,171956,64328,65085340
talvar,2015,UA,132 min,"Crime, Drama, Mystery",8.2,,meghna gulzar,Irrfan Khan,Konkona Sen Sharma,Neeraj Kabi,Sohum Shah,31142,34237,641350,163191,20775,42273
ford v ferrari,2019,UA,152 min,"Action, Biography, Drama",8.1,81.0,james mangold,Matt Damon,Christian Bale,Jon Bernthal,Caitriona Balfe,291289,117624028,641266,247814,21915,134646263
relatos salvajes,2014,R,122 min,"Comedy, Drama, Thriller",8.1,77.0,damián szifron,Darío Grandinetti,María Marull,Mónica Villa,Diego Starosta,177059,3107072,605004,52511,23800,3840988
the grand budapest hotel,2014,UA,99 min,"Adventure, Comedy, Crime",8.1,88.0,wes anderson,Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,Adrien Brody,707630,59100318,604220,202643,448724,73060301
kubo and the two strings,2016,PG,101 min,"Animation, Action, Adventure",7.8,84.0,travis knight,Charlize Theron,Art Parkinson,Matthew McConaughey,Ralph Fiennes,118035,48023088,590600,287014,9474,58557445
la grande bellezza,2013,,141 min,Drama,7.8,86.0,paolo sorrentino,Toni Servillo,Carlo Verdone,Sabrina Ferilli,Carlo Buccirosso,81125,2852400,578795,112936,115783,3583361
guardians of the galaxy vol. 2,2017,UA,136 min,"Action, Adventure, Comedy",7.6,67.0,james gunn,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,569974,389813101,569500,268174,1231400,465407772
drive,2011,A,100 min,"Crime, Drama",7.8,78.0,nicolas winding refn,Ryan Gosling,Carey Mulligan,Bryan Cranston,Albert Brooks,571571,35061555,564140,441877,21791,45616542
before midnight,2013,R,109 min,"Drama, Romance",7.9,94.0,richard linklater,Ethan Hawke,Julie Delpy,Seamus Davey-Fitzpatrick,Ariane Labed,141457,8114627,552000,150613,103422,10194096
midnight in paris,2011,PG-13,96 min,"Comedy, Fantasy, Romance",7.7,81.0,woody allen,Owen Wilson,Rachel McAdams,Kathy Bates,Kurt Fuller,388089,56816662,550385,140672,1765641,73920841
50_50,2011,R,100 min,"Comedy, Drama, Romance",7.6,72.0,jonathan levine,Joseph Gordon-Levitt,Seth Rogen,Anna Kendrick,Bryce Dallas Howard,315426,35014192,545468,157034,16912,45554920
the hobbit  the desolation of smaug,2013,UA,161 min,"Adventure, Fantasy",7.8,66.0,peter jackson,Ian McKellen,Martin Freeman,Richard Armitage,Ken Stott,601408,258366855,515400,124623,1164166,324576432
paan singh tomar,2012,UA,135 min,"Action, Biography, Crime",8.2,,tigmanshu dhulia,Irrfan Khan,Mahie Gill,Rajesh Abhay,Hemendra Dandotiya,33237,39567,408533,163191,36642,50434
ex machina,2014,UA,108 min,"Drama, Sci-Fi, Thriller",7.7,78.0,alex garland,Alicia Vikander,Domhnall Gleeson,Oscar Isaac,Sonoya Mizuno,474141,25442958,402616,141664,39753,31452794
loving vincent,2017,UA,94 min,"Animation, Biography, Crime",7.8,62.0,dorota kobiela,Hugh Welchman,Douglas Booth,Jerome Flynn,Robert Gulaczyk,50778,6735118,398266,110913,8728,8041228
